0.31 263
0.17 211
0.59 483
0.25 664
0.83 869
0.15 152
0.13 108
0.14 253
0.00 861
0.55 65
0.11 562
0.25 618
0.47 466
0.03 440
0.32 1068
0.00 115
0.11 361
0.15 112
0.00 1034
0.01 31
0.20 484
0.58 396
0.16 188
0.61 862
0.02 521
0.03 157
0.86 176
0.38 1056
0.21 317
0.35 174
0.49 375
0.01 276
0.34 118
0.17 578
0.33 152
0.18 772
0.05 837
0.73 84
0.14 476
0.42 802
0.10 1075
0.00 1000
0.66 85
0.01 494
0.60 137
0.38 103
0.15 756
0.43 663
0.11 1059
0.95 711
0.17 878
0.57 838
0.06 1032
0.18 581
0.25 226
0.01 1059
0.08 293
0.10 1049
0.52 373
0.01 1092
0.06 590
0.35 1057
0.13 965
0.19 489
0.30 268
0.59 977
0.31 957
0.76 533
0.04 756
0.02 776
0.12 321
0.37 633
0.00 397
0.15 538
0.31 340
0.02 783
0.00 287
0.24 137
0.04 1002
0.62 632
0.68 792
0.42 612
0.00 576
0.12 656
0.81 653
0.02 37
0.00 583
0.41 585
0.04 112
0.16 918
0.44 617
0.34 53
0.00 473
0.01 578
0.23 562
0.36 930
0.00 1061
0.09 604
0.13 548
0.41 1030
0.10 794
0.08 505
0.31 617
0.87 964
0.34 363
0.25 196
0.73 1014
0.34 447
0.13 834
0.20 845
0.00 281
0.57 201
0.19 135
0.26 442
0.22 1038
0.14 786
0.59 771
0.09 535
0.11 370
0.58 467
0.04 726
0.13 651
0.13 514
0.14 360
0.55 497
0.01 441
0.03 1063
0.00 612
0.65 745
0.22 813
0.01 63
0.01 348
0.07 894
0.46 199
0.69 974
0.20 1092
0.00 35
0.24 808
0.33 177
0.46 1013
0.08 274
0.20 937
0.03 210
0.06 173
0.07 692
0.26 1034
0.04 377
0.49 486
0.02 578
0.01 610
0.07 137
0.70 488
0.17 866
0.44 68
0.00 201
0.05 961
0.02 990
0.12 1026
0.32 950
0.06 676
0.35 181
0.20 394
0.00 872
0.68 110
0.03 413
0.20 317
0.02 351
0.47 609
0.04 430
0.12 226
0.36 445
0.11 635
0.01 1084
0.51 1054
0.15 95
0.27 619
0.35 384
0.75 590
0.58 552
0.25 878
0.29 992
0.13 805
0.02 89
0.27 649
0.61 426
0.52 928
0.09 857
0.00 768
0.79 958
0.54 764
0.24 890
0.33 265
0.02 932
0.85 270
0.09 493
0.24 63
0.18 517
0.00 404
0.80 898
0.15 543
0.01 764
0.19 964
0.30 182
0.27 96
0.82 922
0.47 396
0.59 419
0.08 82
0.48 987
0.11 472
0.64 429
0.71 747
0.30 149
0.23 343
0.23 68
0.12 109
0.20 898
0.35 957
0.16 413
0.48 52
0.13 85
0.05 917
0.23 681
0.46 906
0.01 667
0.55 46
0.36 673
0.01 615
0.22 813
0.57 957
0.05 1021
0.03 534
0.13 863
0.11 593
0.08 488
0.24 978
0.28 608
0.04 780
0.31 916
0.05 1023
0.10 974
0.05 80
0.34 813
0.00 775
0.41 85
0.37 491
0.11 915
0.21 329
0.02 211
0.42 274
0.06 1018
0.04 683
0.36 973
0.68 335
